Iteration 213	Error 0.000001
Iteration 214	Error 0.000001
Iteration 215	Error 0.000001
Iteration 216	Error 0.000001
Iteration 217	Error 0.000001
Iteration 218	Error 0.000001
Iteration 219	Error 0.000001
Iteration 220	Error 0.000001
Iteration 221	Error 0.000001
Iteration 222	Error 0.000001
Iteration 223	Error 0.000001
Iteration 224	Error 0.000001
Iteration 225	Error 0.000001
Iteration 226	Error 0.000001
Iteration 227	Error 0.000001
Iteration 228	Error 0.000001
Iteration 229	Error 0.000001
Iteration 230	Error 0.000001
Iteration 231	Error 0.000000
Iteration 232	Error 0.000000
Iteration 233	Error 0.000000
Iteration 234	Error 0.000000
Iteration 235	Error 0.000000
Iteration 236	Error 0.000000
Iteration 237	Error 0.000000
Iteration 238	Error 0.000000
Iteration 239	Error 0.000000
Iteration 240	Error 0.000000
Iteration 241	Error 0.000000
Iteration 242	Error 0.000000
Iteration 243	Error 0.000000
Iteration 244	Error 0.000000
Iteration 245	Error 0.000000
Iteration 246	Error 0.000000
Iteration 247	Error 0.000000
Iteration 248	Error 0.000000
Iteration 249	Error 0.000000
Iteration 250	Error 0.000000
Iteration 251	Error 0.000000
Iteration 252	Error 0.000000
Iteration 253	Error 0.000000
Iteration 254	Error 0.000000
Iteration 255	Error 0.000000
Iteration 256	Error 0.000000
Iteration 257	Error 0.000000
Iteration 258	Error 0.000000
Iteration 259	Error 0.000000
Iteration 260	Error 0.000000
Iteration 261	Error 0.000000
Iteration 262	Error 0.000000
Iteration 263	Error 0.000000
Iteration 264	Error 0.000000
Iteration 265	Error 0.000000
Iteration 266	Error 0.000000
Iteration 267	Error 0.000000
Iteration 268	Error 0.000000
Iteration 269	Error 0.000000
Iteration 270	Error 0.000000
Iteration 271	Error 0.000000
Iteration 272	Error 0.000000
Iteration 273	Error 0.000000
Iteration 274	Error 0.000000
Iteration 275	Error 0.000000
Iteration 276	Error 0.000000
Iteration 277	Error 0.000000
Iteration 278	Error 0.000000
Iteration 279	Error 0.000000
Iteration 280	Error 0.000000
Iteration 281	Error 0.000000
Iteration 282	Error 0.000000
Iteration 283	Error 0.000000
Iteration 284	Error 0.000000
Iteration 285	Error 0.000000
Iteration 286	Error 0.000000
Iteration 287	Error 0.000000
Iteration 288	Error 0.000000
Iteration 289	Error 0.000000
Iteration 290	Error 0.000000
Iteration 291	Error 0.000000
Iteration 292	Error 0.000000
Iteration 293	Error 0.000000
Iteration 294	Error 0.000000
Iteration 295	Error 0.000000
Iteration 296	Error 0.000000
Iteration 297	Error 0.000000
Iteration 298	Error 0.000000
Iteration 299	Error 0.000000
Iteration 300	Error 0.000000
Iteration 301	Error 0.000000
Iteration 302	Error 0.000000
Iteration 303	Error 0.000000
Iteration 304	Error 0.000000
